level_0,index,Year,Christianity_pop,Judaism_pop,Islam_pop,Buddhism_pop,Zoroastrian_pop,Hindu_pop,Sike_pop,Shinto_pop,Baha'i_pop,Taoism_pop,Confucianism_pop,Jain_pop,Syncretic Religions_pop,Animist_pop,Non Religious_pop,Other Religions_pop,Total Religious_pop,Population_pop,Christianity _pct,Judaism _pct,Islam _pct,Buddhism _pct,Zoroastrian _pct,Hindu _pct,Sike _pct,Shinto _pct,Baha'i _pct,Taoism _pct,Confucianism _pct,Jain _pct,Syncretic Religions _pct,Animist _pct,Non Religious _pct,Other Religions _pct,Total Religious _pct,Country,Region,SubRegion
41,154,1995,69050,0,69,46,0,140,0,0,0,0,0,0,0,0,1000,695,70305,71000,0.9725,0.0,0.001,0.0006,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0098,0.9902,Dominica,Latin America and the Caribbean,Caribbean
42,155,2000,60965,0,139,92,0,141,0,0,0,0,0,0,0,0,5000,4663,66337,71000,0.8587,0.0,0.002,0.0013,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704,0.0657,0.9343,Dominica,Latin America and the Caribbean,Caribbean
43,156,2005,64061,0,0,88,0,68,0,0,0,0,0,0,0,0,4690,3479,68907,72386,0.885,0.0,0.0,0.0012,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.0481,0.9519,Dominica,Latin America and the Caribbean,Caribbean
44,157,2010,67160,0,0,0,0,0,0,0,0,0,0,0,0,0,4380,1460,71540,73000,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.98,Dominica,Latin America and the Caribbean,Caribbean
45,161,1990,75257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15743,75257,91000,0.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.827,Grenada,Latin America and the Caribbean,Caribbean
46,162,1995,77438,0,152,0,0,318,0,0,0,0,0,0,0,0,2097,10995,80005,91000,0.851,0.0,0.0017,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.1208,0.8792,Grenada,Latin America and the Caribbean,Caribbean
47,163,2000,76726,0,167,0,0,123,0,0,0,0,0,0,0,0,6820,4164,83836,88000,0.8719,0.0,0.0019,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0775,0.0473,0.9527,Grenada,Latin America and the Caribbean,Caribbean
48,164,2005,96820,0,500,0,0,250,0,0,150,0,0,0,0,0,4957,323,102677,103000,0.94,0.0,0.0049,0.0,0.0,0.0024,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0481,0.0031,0.9969,Grenada,Latin America and the Caribbean,Caribbean
49,165,2010,94323,0,526,0,0,263,0,0,157,0,0,0,0,0,5217,7933,100486,108419,0.87,0.0,0.0049,0.0,0.0,0.0024,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0481,0.0732,0.9268,Grenada,Latin America and the Caribbean,Caribbean
50,168,1990,131057,0,0,0,0,1200,0,0,300,0,0,0,0,0,200,243,132757,133000,0.9854,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0015,0.0018,0.9982,Saint Lucia,Latin America and the Caribbean,Caribbean
