,year,country,gdp,un_region,hdi,conflict_present,religion,relig_pop,prop_relig
1436,2010,Uganda,26673441430.7857,Africa,0.5,0.0,Judaism,2000,6.701289549251831e-05
1447,1990,Burundi,1132101252.51817,Africa,0.285,0.0,Judaism,0,0.0
1448,1995,Burundi,1000428393.88528,Africa,0.0,1.0,Judaism,0,0.0
1449,2000,Burundi,870486065.883137,Africa,0.298,1.0,Judaism,0,0.0
1450,2005,Burundi,1117113079.73645,Africa,0.0,1.0,Judaism,0,0.0
1451,2010,Burundi,2032135192.01248,Africa,0.404,0.0,Judaism,0,0.0
1457,1990,Somalia,1031282081.16683,Africa,0.38,1.0,Judaism,0,0.0
1458,1995,Somalia,1534756134.55022,Africa,0.0,1.0,Judaism,0,0.0
1459,2000,Somalia,3412797450.20112,Africa,0.38,0.0,Judaism,0,0.0
1460,2005,Somalia,4683246454.10048,Africa,0.0,1.0,Judaism,0,0.0
1461,2010,Somalia,2687807003.73935,Africa,0.38,1.0,Judaism,0,0.0
1467,1990,Ethiopia,12478943895.1691,Africa,0.286,1.0,Judaism,10000,0.00021830228929244736
1468,1995,Ethiopia,7855205206.93405,Africa,0.0,0.0,Judaism,10975,0.00021162445923683882
1469,2000,Ethiopia,8242349617.8638,Africa,0.286,1.0,Judaism,11950,0.00020328448183253391
1470,2005,Ethiopia,12401139453.9738,Africa,0.0,1.0,Judaism,8500,0.00012244355856129682
1471,2010,Ethiopia,29933790334.3418,Africa,0.409,1.0,Judaism,4500,5.696379407831486e-05
1476,1990,Angola,11229515599.3048,Africa,0.38,1.0,Judaism,0,0.0
1477,1995,Angola,5538749259.94714,Africa,0.0,1.0,Judaism,0,0.0
1478,2000,Angola,9129594970.15301,Africa,0.38,1.0,Judaism,0,0.0
1479,2005,Angola,41396636383.3725,Africa,0.0,0.0,Judaism,0,0.0
1480,2010,Angola,95546919754.7633,Africa,0.516,0.0,Judaism,0,0.0
1551,1990,Algeria,62048507531.3357,Africa,0.593,0.0,Judaism,600,2.4716786817713697e-05
1552,1995,Algeria,41764291671.7711,Africa,0.0,1.0,Judaism,0,0.0
1553,2000,Algeria,54790398570.3282,Africa,0.652,1.0,Judaism,566,1.8334842556504195e-05
1554,2005,Algeria,107046618669.707,Africa,0.0,1.0,Judaism,526,1.601670414352136e-05
1555,2010,Algeria,177785053939.531,Africa,0.721,1.0,Judaism,0,0.0
1566,1990,Sudan,33641222222.2222,Africa,0.322,1.0,Judaism,1200,5.5764198854575476e-05
1567,1995,Sudan,13830363899.9163,Africa,0.0,1.0,Judaism,0,0.0
1568,2000,Sudan,12257299147.2936,Africa,0.42,1.0,Judaism,0,0.0
1569,2005,Sudan,35182711987.974,Africa,0.0,1.0,Judaism,0,0.0
1570,2010,Sudan,58962978034.4828,Africa,0.489,1.0,Judaism,0,0.0
1571,1990,Iran (Islamic Republic Of),124813263926.225,Asia,0.613,1.0,Judaism,16666,0.0003126659267194065
1572,1995,Iran (Islamic Republic Of),96419225743.6737,Asia,0.0,0.0,Judaism,8333,0.00012587790320736989
1573,2000,Iran (Islamic Republic Of),109591707802.216,Asia,0.692,1.0,Judaism,12000,0.00017963138741146231
1574,2005,Iran (Islamic Republic Of),224970371324.67,Asia,0.0,1.0,Judaism,9200,0.0001334819044965991
1575,2010,Iran (Islamic Republic Of),487069570463.768,Asia,0.756,1.0,Judaism,8700,0.0001184341792655676
1576,1990,Turkey,150655500191.644,Asia,0.598,1.0,Judaism,22000,0.00039353647113556664
1577,1995,Turkey,234699627004.035,Asia,0.0,1.0,Judaism,20000,0.000325420839517753
1578,2000,Turkey,274748463178.502,Asia,0.669,1.0,Judaism,20000,0.000302509560323076
1579,2005,Turkey,508314210212.544,Asia,0.0,1.0,Judaism,17000,0.00023807780239735665
1580,2010,Turkey,782545664268.333,Asia,0.75,0.0,Judaism,15000,0.00019727748391981366
1581,1990,Iraq,180408064516.129,Asia,0.497,1.0,Judaism,180,1.0138383299604433e-05
1582,1995,Iraq,12894029888.1122,Asia,0.0,1.0,Judaism,0,0.0
1583,2000,Iraq,48364250943.9051,Asia,0.583,0.0,Judaism,0,0.0
1584,2005,Iraq,50065104667.8159,Asia,0.0,1.0,Judaism,0,0.0
1585,2010,Iraq,138516722649.573,Asia,0.629,1.0,Judaism,0,0.0
1606,1990,Israel,62016729540.7093,Asia,0.781,1.0,Judaism,3681659,0.7987357458457338
1607,1995,Israel,105497418058.646,Asia,0.0,1.0,Judaism,4549500,0.8238265971316818
1608,2000,Israel,136512300542.025,Asia,0.835,1.0,Judaism,4914100,0.8322918605578749
1609,2005,Israel,147519922009.047,Asia,0.0,1.0,Judaism,5275699,0.8060534769685649
1610,2010,Israel,239679036634.372,Asia,0.887,1.0,Judaism,5573299,0.7687628134630141
1648,1990,Afghanistan,0.0,Asia,0.284,1.0,Judaism,130,8.451783453085353e-06
1649,1995,Afghanistan,0.0,Asia,0.0,1.0,Judaism,66,3.4584995771198243e-06
1650,2000,Afghanistan,3521418059.92345,Asia,0.34,1.0,Judaism,0,0.0
1651,2005,Afghanistan,6203256538.70967,Asia,0.0,1.0,Judaism,0,0.0
1652,2010,Afghanistan,15856668555.8336,Asia,0.449,1.0,Judaism,0,0.0
1698,1990,India,320979026420.035,Asia,0.434,1.0,Judaism,9000,1.162015091634851e-05
1699,1995,India,360281909643.489,Asia,0.0,1.0,Judaism,9061,1.067625638390733e-05
1700,2000,India,468395521654.458,Asia,0.49,1.0,Judaism,5000,4.991590178849854e-06
1701,2005,India,820383763511.445,Asia,0.0,1.0,Judaism,5000,4.618202857336972e-06
1702,2010,India,1675615519484.96,Asia,0.572,1.0,Judaism,5000,4.296788943709623e-06
1708,1990,Pakistan,40010423970.4576,Asia,0.394,1.0,Judaism,700,6.251925816434527e-06
1709,1995,Pakistan,60636071684.1918,Asia,0.0,1.0,Judaism,781,6.0426865279843545e-06
1710,2000,Pakistan,99484802344.5277,Asia,0.434,1.0,Judaism,0,0.0
1711,2005,Pakistan,145208562960.767,Asia,0.0,1.0,Judaism,0,0.0
1712,2010,Pakistan,196709621849.586,Asia,0.496,1.0,Judaism,0,0.0
1718,1990,Myanmar,2115193513.29556,Asia,0.333,1.0,Judaism,350,9.646922631680493e-06
1719,1995,Myanmar,5289174942.53404,Asia,0.0,1.0,Judaism,186,4.764428347621196e-06
1720,2000,Myanmar,8905066163.58643,Asia,0.407,1.0,Judaism,50,1.250269370535882e-06
1721,2005,Myanmar,11986972418.5103,Asia,0.0,1.0,Judaism,25,5.196460503678367e-07
1722,2010,Myanmar,49540813342.4834,Asia,0.506,1.0,Judaism,25,4.896135439170325e-07
1723,1990,Sri Lanka,8032551173.24014,Asia,0.641,1.0,Judaism,0,0.0
1724,1995,Sri Lanka,13029697560.9756,Asia,0.0,1.0,Judaism,0,0.0
1725,2000,Sri Lanka,16595882818.6857,Asia,0.689,1.0,Judaism,0,0.0
1726,2005,Sri Lanka,24405791044.7761,Asia,0.0,1.0,Judaism,0,0.0
1727,2010,Sri Lanka,58636049434.1871,Asia,0.735,0.0,Judaism,0,0.0
1773,1990,Philippines,50508286641.5746,Asia,0.598,1.0,Judaism,850,1.4194210769234546e-05
1774,1995,Philippines,84644328727.4825,Asia,0.0,1.0,Judaism,575,8.510933574516909e-06
1775,2000,Philippines,83669788376.9213,Asia,0.635,1.0,Judaism,300,4.019301220367032e-06
1776,2005,Philippines,107419977318.166,Asia,0.0,1.0,Judaism,300,3.697034527270916e-06
1777,2010,Philippines,208368893151.144,Asia,0.673,1.0,Judaism,300,3.344015009009445e-06
1778,1990,Indonesia,106140727333.636,Asia,0.526,1.0,Judaism,0,0.0
1779,1995,Indonesia,202132028723.115,Asia,0.0,0.0,Judaism,0,0.0
1780,2000,Indonesia,165021012077.81,Asia,0.597,1.0,Judaism,0,0.0
1781,2005,Indonesia,285868619196.085,Asia,0.0,1.0,Judaism,0,0.0
1782,2010,Indonesia,755094157621.936,Asia,0.667,0.0,Judaism,0,0.0
1959,1990,Colombia,47844090709.9908,Southern America,0.614,1.0,Islam,20000,0.0006447858585565501
