ISO Code;Country;UN Region;UN Sub Region;SDG Region;Development Regions;UNICEF Region;UNICEF Sub-Regions;WHO Region;World Bank Income Groups;World Bank Income Groups Combined;World Bank Regions
TKL;Tokelau;Not Classified;Not Classified;Not Classified;Not Classified;EAPRO;EAP;Not Classified;Not Classified;Not Classified;Not Classified
TON;Tonga;Oceania;Polynesia;Oceania excluding Australia and New Zealand;Less Developed;EAPRO;EAP;WPRO;Upper Middle Income;Middle Income;East Asia & Pacific
TTO;Trinidad and Tobago;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;High Income;High Income;Latin America & Caribbean
TUN;Tunisia;Africa;Northern Africa;Western Asia and Northern Africa;Less Developed;MENA;MENA;EMRO;Lower Middle Income;Middle Income;Middle East & North Africa
TUR;Turkey;Asia;Western Asia;Western Asia and Northern Africa;Less Developed;ECA;EECA;EURO;Upper Middle Income;Middle Income;Europe & Central Asia
TKM;Turkmenistan;Asia;Central Asia;Central Asia and Southern Asia;Less Developed;ECA;EECA;EURO;Upper Middle Income;Middle Income;Europe & Central Asia
TCA;Turks and Caicos Islands;Not Classified;Not Classified;Not Classified;Not Classified;LACRO;LAC;Not Classified;High Income;High Income;Not Classified
TUV;Tuvalu;Oceania;Polynesia;Oceania excluding Australia and New Zealand;Least Developed;EAPRO;EAP;WPRO;Upper Middle Income;Middle Income;East Asia & Pacific
UGA;Uganda;Africa;Eastern Africa;Sub-Saharan Africa;Least Developed;SSA;ESA;AFRO;Low Income;Low Income;Sub-Saharan Africa
UKR;Ukraine;Europe;Eastern Europe;Northern America and Europe;More Developed;ECA;EECA;EURO;Lower Middle Income;Middle Income;Europe & Central Asia
ARE;United Arab Emirates;Asia;Western Asia;Western Asia and Northern Africa;Less Developed;MENA;MENA;EMRO;High Income;High Income;Middle East & North Africa
GBR;United Kingdom;Europe;Northern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
TZA;United Republic of Tanzania;Africa;Eastern Africa;Sub-Saharan Africa;Least Developed;SSA;ESA;AFRO;Low Income;Low Income;Sub-Saharan Africa
USA;United States;Northern America;Northern America;Northern America and Europe;More Developed;NA;NA;AMRO;High Income;High Income;North America
URY;Uruguay;Latin America and the Caribbean;South America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;High Income;High Income;Latin America & Caribbean
UZB;Uzbekistan;Asia;Central Asia;Central Asia and Southern Asia;Less Developed;ECA;EECA;EURO;Lower Middle Income;Middle Income;Europe & Central Asia
VUT;Vanuatu;Oceania;Melanesia;Oceania excluding Australia and New Zealand;Least Developed;EAPRO;EAP;WPRO;Lower Middle Income;Middle Income;East Asia & Pacific
VEN;Venezuela (Bolivarian Republic of);Latin America and the Caribbean;South America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
VNM;Viet Nam;Asia;South-Eastern Asia;Eastern Asia and South-eastern Asia;Less Developed;EAPRO;EAP;WPRO;Lower Middle Income;Middle Income;East Asia & Pacific
YEM;Yemen;Asia;Western Asia;Western Asia and Northern Africa;Least Developed;MENA;MENA;EMRO;Lower Middle Income;Middle Income;Middle East & North Africa
ZMB;Zambia;Africa;Eastern Africa;Sub-Saharan Africa;Least Developed;SSA;ESA;AFRO;Lower Middle Income;Middle Income;Sub-Saharan Africa
ZWE;Zimbabwe;Africa;Eastern Africa;Sub-Saharan Africa;Less Developed;SSA;ESA;AFRO;Low Income;Low Income;Sub-Saharan Africa
;;;;;;;;;;;
1 UNICEF regional abbreviations and full names: East Asia and Pacific (EAP), Europe and Central Asia (ECA), Eastern Europe and Central Asia (EECA), Eastern and Southern Africa (ESA), Latin America and Caribbean (LAC), Middle East and North Africa (MENA), North America (NA), South Asia (SA), Sub-Saharan Africa (SSA), West and Central Africa (WCA), .;;;;;;;;;;;
2 WHO regional abbreviations and full names: Africa (AFR), Americas (AMR), Eastern Mediterranean (EMR), Europe (EUR), South-East Asia (SEAR), Western Pacific ;;;;;;;;;;;
3 Based on FY18 World Bank income classification;;;;;;;;;;;
