,year,country,Christianity,Judaism,Islam,Buddhism,Hindu,Shinto,Confus_Tao,code,gdp,un_region,hdi,conflict_present
417,1990,Paraguay,4142546,2400,0,6200,0,0,0,PRY,5812114523.01187,Latin America and the Caribbean,0.604,0.0
419,1995,Paraguay,4624128,0,0,0,0,0,0,PRY,9062131475.02318,Latin America and the Caribbean,0.0,0.0
421,2000,Paraguay,5329016,1365,1000,5524,0,0,0,PRY,8855705139.55857,Latin America and the Caribbean,0.656,0.0
423,2005,Paraguay,5367889,1500,1270,4516,0,0,0,PRY,10737500188.1123,Latin America and the Caribbean,0.0,0.0
425,2010,Paraguay,6138983,3208,3873,14783,0,0,0,PRY,27260886405.2341,Latin America and the Caribbean,0.7,0.0
436,1990,Chile,12353325,9600,2000,750,0,0,0,CHL,33428580448.2715,Latin America and the Caribbean,0.705,0.0
437,1995,Chile,13585000,0,0,0,0,0,0,CHL,73820425701.6603,Latin America and the Caribbean,0.0,0.0
438,2000,Chile,14197856,11127,1603,1812,0,0,0,CHL,78339750721.364,Latin America and the Caribbean,0.763,0.0
439,2005,Chile,14273550,20900,4000,2100,0,0,0,CHL,122294145163.192,Latin America and the Caribbean,0.0,0.0
440,2010,Chile,15587652,20664,4500,2700,0,0,0,CHL,217051209238.534,Latin America and the Caribbean,0.813,0.0
450,1990,Argentina,29470753,620873,0,0,0,0,0,ARG,141352654305.163,Latin America and the Caribbean,0.724,0.0
451,1995,Argentina,31986560,695360,0,0,0,0,0,ARG,258031750000.0,Latin America and the Caribbean,0.0,0.0
452,2000,Argentina,33280506,296256,555480,5985,1811,0,0,ARG,284203750000.0,Latin America and the Caribbean,0.78,0.0
453,2005,Argentina,32627326,425000,600000,6912,1879,0,0,ARG,198737095012.282,Latin America and the Caribbean,0.0,0.0
454,2010,Argentina,34400709,275000,611000,7236,1967,0,0,ARG,423627422092.49,Latin America and the Caribbean,0.834,0.0
464,1990,Uruguay,2262800,30500,450,60,0,0,0,URY,9298807850.29979,Latin America and the Caribbean,0.702,0.0
465,1995,Uruguay,2286480,63720,0,0,0,0,0,URY,19297663096.5506,Latin America and the Caribbean,0.0,0.0
466,2000,Uruguay,2470035,45873,167,21,0,0,0,URY,22823270892.1094,Latin America and the Caribbean,0.754,0.0
