hdi_rank,country,hdi_1990,hdi_2000,hdi_2010,hdi_2015,hdi_2019,hdi_2020,hdi_2021,hdi_2022,avg_growth_1990_2022
154.0,Papua New Guinea,0.394,0.456,0.497,0.54,0.562,0.567,0.564,0.568,1.14959042362335
155.0,Timor-Leste,,0.495,0.639,0.621,0.627,0.633,0.574,0.566,
156.0,Solomon Islands,,0.488,0.553,0.562,0.568,0.566,0.564,0.562,
157.0,Syrian Arab Republic,0.563,0.587,0.661,0.552,0.564,0.561,0.558,0.557,-0.0334768584126288
158.0,Haiti,0.441,0.485,0.449,0.549,0.559,0.557,0.551,0.552,0.704039193454609
159.0,Uganda,0.329,0.392,0.5,0.525,0.544,0.545,0.545,0.55,1.61877663524568
159.0,Zimbabwe,0.479,0.426,0.481,0.544,0.56,0.554,0.549,0.55,0.432864415757672
161.0,Nigeria,,,0.488,0.52,0.537,0.539,0.542,0.548,
161.0,Rwanda,0.32,0.328,0.485,0.509,0.531,0.535,0.539,0.548,1.69531728372914
163.0,Togo,0.399,0.436,0.469,0.51,0.536,0.54,0.545,0.547,0.990774065816979
164.0,Mauritania,0.397,0.461,0.508,0.536,0.552,0.539,0.538,0.54,0.965988522564598
164.0,Pakistan,0.394,0.434,0.496,0.525,0.537,0.536,0.537,0.54,0.98992462566323
166.0,Côte d'Ivoire,0.425,0.454,0.47,0.501,0.529,0.53,0.53,0.534,0.716009521491534
168.0,Lesotho,0.479,0.456,0.47,0.508,0.528,0.53,0.522,0.521,0.262999752733561
169.0,Senegal,0.371,0.388,0.47,0.501,0.514,0.514,0.512,0.517,1.04239804288329
170.0,Sudan,0.322,0.42,0.489,0.514,0.521,0.518,0.516,0.516,1.48452122550089
171.0,Djibouti,,0.33,0.422,0.473,0.508,0.512,0.512,0.515,
172.0,Malawi,0.299,0.378,0.461,0.498,0.514,0.512,0.509,0.508,1.67016219116829
173.0,Benin,0.35,0.412,0.481,0.509,0.506,0.501,0.502,0.504,1.14602687305434
174.0,Gambia,0.323,0.392,0.449,0.467,0.492,0.492,0.49,0.495,1.34301804336161
175.0,Eritrea,,,0.458,0.473,0.487,0.49,0.49,0.493,
176.0,Ethiopia,,0.286,0.409,0.455,0.485,0.489,0.489,0.492,
177.0,Liberia,,0.434,0.46,0.472,0.485,0.483,0.484,0.487,
177.0,Madagascar,,0.438,0.488,0.499,0.498,0.486,0.484,0.487,
